[[3398, 29, 10, 1997, 9, 20, 29, 42, 44, 46], [1332, 15, 1, 1978, 20, 28, 29, 42, 44, 46]]
[[3424, 28, 1, 1998, 19, 24, 26, 32, 35, 42], [718, 27, 9, 1970, 19, 24, 26, 35, 42, 45]]
[[3444, 8, 4, 1998, 13, 27, 32, 33, 43, 46], [2664, 20, 10, 1990, 20, 27, 32, 33, 43, 46]]
[[3447, 18, 4, 1998, 5, 9, 20, 23, 32, 34], [119, 24, 5, 1959, 5, 17, 20, 23, 32, 34]]
[[3463, 13, 6, 1998, 1, 6, 11, 14, 34, 48], [5539, 14, 10, 2014, 6, 11, 14, 31, 34, 48]]
[[3465, 20, 6, 1998, 4, 5, 27, 34, 36, 46], [4072, 14, 4, 2004, 1, 4, 5, 34, 36, 46]]
[[3471, 11, 7, 1998, 5, 18, 28, 38, 43, 44], [5412, 21, 12, 2013, 18, 27, 28, 38, 43, 44]]
[[3478, 5, 8, 1998, 6, 19, 20, 29, 40, 47], [3996, 23, 7, 2003, 6, 18, 19, 29, 40, 47]]
[[3492, 23, 9, 1998, 6, 9, 16, 19, 22, 38], [3974, 7, 5, 2003, 6, 9, 16, 22, 24, 38]]
[[3501, 24, 10, 1998, 31, 33, 35, 36, 38, 43], [5026, 5, 7, 2011, 15, 31, 35, 36, 38, 43]]
[[3515, 12, 12, 1998, 8, 14, 16, 20, 45, 49], [2556, 7, 10, 1989, 8, 14, 16, 20, 46, 49]]
[[3534, 17, 2, 1999, 12, 18, 22, 30, 38, 45], [228, 25, 6, 1961, 12, 18, 21, 22, 30, 45]]
[[3538, 3, 3, 1999, 13, 17, 18, 21, 25, 37], [2208, 7, 6, 1986, 13, 17, 18, 25, 28, 37]]
[[3549, 10, 4, 1999, 12, 19, 36, 38, 39, 49], [2480, 14, 1, 1989, 12, 19, 36, 38, 39, 42]]
[[3558, 12, 5, 1999, 11, 15, 20, 23, 27, 32], [3927, 23, 11, 2002, 15, 20, 21, 23, 27, 32]]
[[3561, 22, 5, 1999, 9, 13, 23, 25, 28, 49], [3166, 9, 8, 1995, 9, 13, 23, 25, 28, 45]]
[[3562, 26, 5, 1999, 8, 20, 30, 39, 40, 47], [1524, 18, 11, 1979, 8, 20, 30, 36, 40, 47]]
[[3588, 25, 8, 1999, 4, 7, 11, 19, 24, 33], [1893, 29, 5, 1983, 4, 7, 11, 19, 24, 31]]
[[3593, 11, 9, 1999, 12, 17, 21, 35, 41, 49], [80, 24, 8, 1958, 17, 21, 27, 35, 41, 49]]
[[3598, 29, 9, 1999, 3, 13, 14, 26, 29, 37], [6398, 9, 4, 2020, 3, 13, 14, 26, 37, 38]]
[[3618, 8, 12, 1999, 9, 18, 20, 26, 29, 44], [3290, 16, 10, 1996, 9, 18, 20, 26, 29, 43], [5681, 10, 9, 2015, 4, 9, 18, 26, 29, 44]]
[[3624, 29, 12, 1999, 8, 19, 28, 31, 41, 47], [41, 10, 11, 1957, 8, 19, 28, 30, 31, 47]]
[[3655, 15, 4, 2000, 13, 17, 25, 32, 39, 49], [6075, 17, 3, 2018, 13, 25, 32, 34, 39, 49]]
[[3657, 22, 4, 2000, 1, 3, 13, 25, 38, 44], [6125, 12, 7, 2018, 3, 13, 24, 25, 38, 44]]
[[3660, 3, 5, 2000, 2, 15, 17, 24, 40, 43], [1604, 24, 8, 1980, 2, 15, 17, 24, 25, 43]]
[[3661, 6, 5, 2000, 1, 24, 29, 35, 45, 47], [5746, 9, 2, 2016, 24, 25, 29, 35, 45, 47]]
[[3663, 13, 5, 2000, 7, 8, 15, 38, 43, 46], [4386, 18, 4, 2007, 7, 15, 22, 38, 43, 46], [4494, 9, 2, 2008, 7, 8, 30, 38, 43, 46]]
[[3683, 22, 7, 2000, 8, 16, 17, 24, 27, 39], [4223, 24, 9, 2005, 8, 16, 24, 27, 31, 39]]
[[3689, 12, 8, 2000, 4, 9, 24, 39, 44, 45], [1132, 15, 2, 1976, 4, 9, 14, 24, 44, 45]]
[[3697, 9, 9, 2000, 2, 11, 13, 31, 34, 37], [2182, 8, 3, 1986, 2, 11, 13, 31, 37, 41]]
[[3700, 20, 9, 2000, 16, 18, 19, 26, 30, 49], [2191, 5, 4, 1986, 16, 18, 26, 28, 30, 49]]
[[3707, 14, 10, 2000, 5, 7, 10, 13, 36, 38], [5984, 17, 8, 2017, 7, 10, 13, 19, 36, 38]]
[[3709, 21, 10, 2000, 3, 4, 8, 21, 32, 49], [789, 19, 12, 1971, 3, 4, 8, 32, 39, 49]]
[[3723, 9, 12, 2000, 1, 2, 8, 21, 33, 36], [2769, 19, 10, 1991, 2, 8, 21, 28, 33, 36]]
[[3724, 13, 12, 2000, 9, 22, 26, 27, 47, 49], [2470, 10, 12, 1988, 9, 12, 26, 27, 47, 49]]
[[3752, 21, 3, 2001, 2, 14, 22, 24, 26, 34], [6172, 30, 10, 2018, 2, 14, 22, 24, 26, 36]]
[[3762, 25, 4, 2001, 1, 2, 20, 29, 30, 43], [3090, 16, 11, 1994, 2, 20, 29, 30, 35, 43]]
[[3773, 2, 6, 2001, 1, 17, 28, 34, 38, 43], [1738, 6, 12, 1981, 1, 17, 26, 28, 34, 38]]
[[3781, 30, 6, 2001, 7, 9, 21, 36, 39, 41], [5176, 19, 6, 2012, 7, 9, 21, 32, 36, 41]]
[[3797, 25, 8, 2001, 4, 15, 25, 27, 31, 33], [674, 7, 12, 1969, 4, 13, 15, 25, 27, 31]]
[[3810, 10, 10, 2001, 3, 12, 14, 28, 29, 41], [603, 4, 8, 1968, 3, 12, 14, 29, 32, 41]]
[[3816, 31, 10, 2001, 9, 18, 30, 35, 39, 48], [1998, 2, 6, 1984, 9, 13, 18, 35, 39, 48]]
[[3826, 5, 12, 2001, 7, 25, 41, 44, 45, 47], [5231, 25, 10, 2012, 7, 24, 25, 41, 45, 47]]
[[3846, 13, 2, 2002, 1, 15, 24, 33, 42, 43], [1160, 23, 5, 1976, 15, 24, 33, 41, 42, 43]]
[[3848, 20, 2, 2002, 7, 10, 11, 19, 27, 46], [5398, 19, 11, 2013, 7, 10, 11, 12, 19, 27]]
[[3852, 6, 3, 2002, 7, 14, 16, 29, 32, 39], [1475, 27, 5, 1979, 1, 7, 16, 29, 32, 39]]
[[3854, 13, 3, 2002, 2, 4, 27, 30, 32, 48], [1046, 20, 4, 1975, 2, 4, 26, 27, 32, 48]]
[[3861, 6, 4, 2002, 18, 21, 33, 38, 44, 45], [3077, 1, 10, 1994, 18, 21, 33, 44, 45, 49]]
[[3862, 10, 4, 2002, 1, 17, 20, 30, 36, 41], [1123, 11, 1, 1976, 17, 20, 24, 30, 36, 41]]
[[3875, 25, 5, 2002, 7, 24, 27, 29, 46, 49], [5432, 6, 2, 2014, 7, 27, 29, 32, 46, 49]]
[[3879, 8, 6, 2002, 4, 8, 17, 43, 45, 48], [6023, 16, 11, 2017, 4, 8, 17, 33, 45, 48]]
[[3906, 11, 9, 2002, 7, 14, 16, 25, 38, 44], [4909, 5, 10, 2010, 7, 14, 16, 36, 38, 44], [5939, 4, 5, 2017, 7, 14, 25, 38, 44, 49]]
[[3915, 12, 10, 2002, 24, 26, 30, 41, 42, 47], [6327, 26, 10, 2019, 24, 26, 37, 41, 42, 47]]
[[3927, 23, 11, 2002, 15, 20, 21, 23, 27, 32], [3558, 12, 5, 1999, 11, 15, 20, 23, 27, 32]]
[[3936, 25, 12, 2002, 4, 13, 16, 26, 31, 39], [1838, 21, 11, 1982, 4, 8, 16, 26, 31, 39]]
[[3948, 5, 2, 2003, 6, 12, 25, 29, 35, 48], [3256, 19, 6, 1996, 4, 6, 12, 25, 29, 48]]
[[3949, 8, 2, 2003, 19, 22, 23, 29, 35, 43], [5037, 30, 7, 2011, 6, 19, 23, 29, 35, 43]]
[[3963, 29, 3, 2003, 8, 13, 14, 23, 35, 44], [5765, 24, 3, 2016, 13, 14, 15, 23, 35, 44]]
[[3967, 12, 4, 2003, 2, 4, 9, 31, 39, 42], [4940, 16, 12, 2010, 4, 9, 31, 39, 42, 46]]
[[3974, 7, 5, 2003, 6, 9, 16, 22, 24, 38], [3492, 23, 9, 1998, 6, 9, 16, 19, 22, 38]]
[[3983, 7, 6, 2003, 12, 15, 25, 30, 35, 41], [3070, 7, 9, 1994, 4, 12, 25, 30, 35, 41]]
[[3996, 23, 7, 2003, 6, 18, 19, 29, 40, 47], [3478, 5, 8, 1998, 6, 19, 20, 29, 40, 47]]
[[4013, 20, 9, 2003, 5, 15, 18, 21, 24, 28], [1589, 29, 6, 1980, 5, 15, 18, 24, 28, 44]]
[[4042, 31, 12, 2003, 10, 11, 23, 24, 33, 43], [2407, 30, 4, 1988, 6, 10, 11, 24, 33, 43]]
[[4047, 17, 1, 2004, 3, 19, 24, 31, 41, 45], [639, 6, 4, 1969, 3, 19, 24, 41, 42, 45]]
[[4060, 3, 3, 2004, 7, 9, 21, 29, 38, 46], [4593, 27, 9, 2008, 6, 7, 9, 21, 29, 46]]
[[4066, 24, 3, 2004, 6, 21, 29, 35, 38, 39], [1785, 16, 5, 1982, 6, 16, 29, 35, 38, 39]]
[[4070, 7, 4, 2004, 1, 5, 14, 26, 44, 45], [1975, 11, 3, 1984, 1, 14, 26, 30, 44, 45]]
[[4072, 14, 4, 2004, 1, 4, 5, 34, 36, 46], [3465, 20, 6, 1998, 4, 5, 27, 34, 36, 46]]
[[4075, 24, 4, 2004, 1, 14, 15, 28, 37, 41], [847, 5, 11, 1972, 1, 5, 14, 15, 28, 41]]
[[4077, 1, 5, 2004, 8, 21, 22, 25, 36, 44], [76, 27, 7, 1958, 19, 21, 22, 25, 36, 44], [4144, 22, 12, 2004, 21, 22, 25, 26, 36, 44]]
[[4104, 4, 8, 2004, 4, 9, 12, 22, 24, 45], [4618, 25, 11, 2008, 4, 9, 22, 24, 40, 45]]
[[4111, 28, 8, 2004, 3, 7, 8, 10, 17, 44], [2686, 5, 1, 1991, 3, 8, 10, 17, 18, 44]]
[[4113, 4, 9, 2004, 13, 26, 27, 43, 45, 46], [942, 3, 2, 1974, 5, 26, 27, 43, 45, 46]]
[[4116, 15, 9, 2004, 5, 21, 29, 39, 41, 42], [2899, 16, 1, 1993, 5, 13, 21, 29, 39, 42]]
[[4123, 9, 10, 2004, 13, 15, 22, 23, 24, 32], [4888, 17, 8, 2010, 13, 17, 22, 23, 24, 32]]
[[4144, 22, 12, 2004, 21, 22, 25, 26, 36, 44], [76, 27, 7, 1958, 19, 21, 22, 25, 36, 44], [1614, 28, 9, 1980, 21, 22, 25, 26, 42, 44], [4077, 1, 5, 2004, 8, 21, 22, 25, 36, 44]]
[[4153, 22, 1, 2005, 7, 21, 22, 26, 32, 42], [2396, 26, 3, 1988, 3, 7, 22, 26, 32, 42]]
[[4173, 2, 4, 2005, 2, 11, 12, 32, 34, 47], [5790, 21, 5, 2016, 11, 12, 25, 32, 34, 47]]
[[4200, 6, 7, 2005, 15, 18, 24, 27, 30, 34], [950, 10, 3, 1974, 13, 15, 18, 27, 30, 34]]
[[4223, 24, 9, 2005, 8, 16, 24, 27, 31, 39], [3683, 22, 7, 2000, 8, 16, 17, 24, 27, 39]]
[[4231, 22, 10, 2005, 5, 6, 14, 27, 34, 43], [2098, 18, 5, 1985, 4, 5, 6, 27, 34, 43]]
[[4258, 25, 1, 2006, 5, 11, 14, 36, 40, 45], [1921, 4, 9, 1983, 11, 14, 27, 36, 40, 45]]
[[4264, 15, 2, 2006, 10, 23, 28, 32, 41, 49], [5056, 13, 9, 2011, 9, 10, 28, 32, 41, 49], [5828, 18, 8, 2016, 10, 13, 23, 28, 32, 49]]
[[4266, 22, 2, 2006, 4, 19, 21, 38, 42, 45], [5420, 9, 1, 2014, 4, 6, 19, 38, 42, 45]]
[[4267, 25, 2, 2006, 3, 11, 13, 28, 31, 37], [5551, 11, 11, 2014, 2, 3, 11, 13, 28, 31]]
[[4273, 18, 3, 2006, 5, 14, 17, 27, 36, 48], [4334, 18, 10, 2006, 4, 5, 14, 17, 36, 48]]
[[4280, 12, 4, 2006, 2, 15, 18, 25, 26, 46], [5371, 17, 9, 2013, 2, 8, 15, 25, 26, 46]]
[[4310, 26, 7, 2006, 2, 15, 19, 30, 39, 48], [5354, 8, 8, 2013, 2, 15, 19, 30, 37, 48]]
[[4313, 5, 8, 2006, 1, 10, 15, 25, 32, 48], [2540, 12, 8, 1989, 1, 10, 15, 32, 44, 48]]
[[4321, 2, 9, 2006, 3, 17, 19, 21, 22, 29], [2925, 17, 4, 1993, 3, 17, 21, 22, 24, 29]]
[[4323, 10, 9, 2006, 3, 6, 7, 12, 28, 32], [2293, 28, 3, 1987, 3, 6, 7, 12, 26, 28]]
[[4332, 11, 10, 2006, 7, 27, 34, 36, 41, 46], [253, 17, 12, 1961, 7, 27, 32, 34, 36, 41], [3206, 27, 12, 1995, 7, 27, 30, 34, 36, 41]]
[[4334, 18, 10, 2006, 4, 5, 14, 17, 36, 48], [4273, 18, 3, 2006, 5, 14, 17, 27, 36, 48]]
[[4336, 25, 10, 2006, 1, 5, 22, 33, 39, 48], [281, 1, 7, 1962, 5, 8, 22, 33, 39, 48]]
[[4337, 28, 10, 2006, 8, 10, 12, 17, 18, 44], [2686, 5, 1, 1991, 3, 8, 10, 17, 18, 44]]
[[4338, 1, 11, 2006, 22, 24, 25, 30, 31, 39], [2187, 22, 3, 1986, 17, 22, 25, 30, 31, 39]]
[[4340, 8, 11, 2006, 15, 26, 34, 36, 47, 49], [2454, 15, 10, 1988, 9, 15, 26, 34, 36, 47]]
[[4351, 16, 12, 2006, 6, 16, 28, 31, 36, 47], [5885, 29, 12, 2016, 6, 16, 27, 28, 31, 36]]
[[4356, 3, 1, 2007, 18, 31, 38, 45, 46, 49], [5593, 17, 2, 2015, 18, 34, 38, 45, 46, 49]]
[[4372, 28, 2, 2007, 4, 11, 19, 27, 43, 45], [1501, 26, 8, 1979, 11, 19, 27, 31, 43, 45]]
[[4378, 21, 3, 2007, 4, 17, 25, 27, 47, 48], [904, 5, 8, 1973, 4, 13, 25, 27, 47, 48]]
[[4386, 18, 4, 2007, 7, 15, 22, 38, 43, 46], [3663, 13, 5, 2000, 7, 8, 15, 38, 43, 46]]
[[4398, 30, 5, 2007, 6, 8, 24, 32, 40, 49], [2220, 19, 7, 1986, 6, 8, 24, 27, 40, 49]]
[[4399, 2, 6, 2007, 2, 10, 16, 21, 30, 44], [3074, 21, 9, 1994, 2, 7, 10, 16, 21, 30]]
[[4402, 13, 6, 2007, 1, 14, 19, 27, 28, 38], [1371, 28, 5, 1978, 1, 14, 19, 28, 32, 38]]
[[4408, 4, 7, 2007, 4, 16, 33, 40, 45, 47], [1885, 1, 5, 1983, 4, 33, 36, 40, 45, 47]]
[[4415, 28, 7, 2007, 3, 19, 22, 23, 32, 36], [679, 4, 1, 1970, 3, 13, 19, 22, 32, 36]]
[[4423, 25, 8, 2007, 4, 5, 8, 17, 28, 30], [5789, 19, 5, 2016, 4, 5, 8, 17, 25, 30]]
[[4425, 1, 9, 2007, 5, 15, 21, 25, 26, 40], [1410, 15, 10, 1978, 5, 15, 25, 26, 40, 42]]
[[4441, 9, 10, 2007, 5, 8, 12, 14, 18, 24], [3194, 15, 11, 1995, 8, 12, 14, 18, 24, 28]]
[[4443, 13, 10, 2007, 5, 13, 14, 27, 28, 45], [5656, 14, 7, 2015, 5, 13, 14, 28, 42, 45]]
[[4453, 6, 11, 2007, 6, 11, 12, 15, 34, 45], [2326, 25, 7, 1987, 6, 8, 11, 12, 34, 45]]
[[4455, 10, 11, 2007, 3, 11, 12, 21, 32, 44], [3311, 28, 12, 1996, 3, 11, 12, 21, 39, 44]]
[[4480, 8, 1, 2008, 4, 5, 19, 24, 29, 44], [2896, 6, 1, 1993, 4, 5, 19, 24, 44, 46], [5577, 10, 1, 2015, 5, 12, 19, 24, 29, 44]]
[[4482, 12, 1, 2008, 7, 16, 21, 22, 26, 45], [6201, 5, 1, 2019, 7, 16, 18, 21, 22, 26]]
[[4494, 9, 2, 2008, 7, 8, 30, 38, 43, 46], [3663, 13, 5, 2000, 7, 8, 15, 38, 43, 46]]
[[4499, 21, 2, 2008, 2, 15, 19, 34, 35, 44], [1972, 4, 3, 1984, 2, 15, 19, 34, 35, 42]]
[[4529, 1, 5, 2008, 5, 6, 10, 25, 29, 32], [2174, 8, 2, 1986, 6, 10, 25, 29, 32, 42]]
[[4533, 10, 5, 2008, 3, 18, 25, 30, 32, 39], [277, 3, 6, 1962, 12, 18, 25, 30, 32, 39]]
[[4539, 24, 5, 2008, 6, 23, 29, 34, 35, 36], [900, 15, 7, 1973, 6, 29, 34, 35, 36, 41]]
[[4545, 7, 6, 2008, 19, 20, 30, 31, 46, 47], [5111, 19, 1, 2012, 19, 20, 30, 31, 45, 46]]
[[4551, 21, 6, 2008, 12, 14, 18, 35, 39, 42], [2532, 15, 7, 1989, 11, 12, 14, 35, 39, 42]]
[[4577, 21, 8, 2008, 22, 35, 42, 43, 46, 49], [4820, 11, 3, 2010, 4, 22, 35, 42, 43, 49]]
[[4582, 2, 9, 2008, 24, 26, 33, 36, 37, 46], [602, 28, 7, 1968, 2, 24, 26, 36, 37, 46], [1250, 3, 4, 1977, 24, 30, 33, 36, 37, 46]]
[[4585, 9, 9, 2008, 14, 17, 22, 24, 33, 46], [1822, 26, 9, 1982, 14, 17, 18, 22, 33, 46]]
[[4589, 18, 9, 2008, 1, 13, 16, 17, 22, 37], [2977, 16, 10, 1993, 1, 13, 16, 17, 22, 36]]
[[4590, 20, 9, 2008, 5, 15, 25, 27, 45, 47], [5891, 12, 1, 2017, 5, 25, 27, 45, 47, 49], [6475, 6, 10, 2020, 5, 15, 20, 25, 27, 47]]
[[4593, 27, 9, 2008, 6, 7, 9, 21, 29, 46], [4060, 3, 3, 2004, 7, 9, 21, 29, 38, 46]]
[[4602, 18, 10, 2008, 3, 6, 18, 19, 28, 33], [1432, 31, 12, 1978, 3, 18, 19, 28, 33, 47]]
[[4606, 28, 10, 2008, 4, 6, 19, 37, 41, 42], [2814, 25, 3, 1992, 4, 6, 37, 41, 42, 47]]
[[4607, 30, 10, 2008, 2, 22, 31, 36, 44, 46], [1590, 6, 7, 1980, 2, 3, 22, 31, 36, 44]]
[[4617, 22, 11, 2008, 17, 20, 23, 32, 34, 48], [119, 24, 5, 1959, 5, 17, 20, 23, 32, 34]]
[[4618, 25, 11, 2008, 4, 9, 22, 24, 40, 45], [4104, 4, 8, 2004, 4, 9, 12, 22, 24, 45]]
[[4624, 9, 12, 2008, 11, 22, 24, 27, 40, 42], [1360, 23, 4, 1978, 11, 24, 27, 39, 40, 42]]
[[4626, 13, 12, 2008, 3, 7, 38, 40, 43, 46], [2431, 23, 7, 1988, 3, 6, 7, 38, 40, 46]]
[[4631, 25, 12, 2008, 2, 10, 17, 33, 39, 46], [2071, 9, 2, 1985, 5, 10, 17, 33, 39, 46]]
[[4633, 30, 12, 2008, 8, 11, 13, 17, 23, 40], [2033, 29, 9, 1984, 1, 8, 13, 17, 23, 40]]
[[4640, 15, 1, 2009, 10, 11, 15, 24, 28, 37], [2147, 2, 11, 1985, 10, 11, 15, 28, 37, 39]]
[[4648, 3, 2, 2009, 3, 18, 21, 23, 30, 41], [3114, 8, 2, 1995, 3, 21, 23, 30, 40, 41], [4976, 10, 3, 2011, 3, 18, 21, 23, 27, 30]]
[[4654, 17, 2, 2009, 12, 26, 39, 40, 44, 49], [5781, 30, 4, 2016, 23, 26, 39, 40, 44, 49]]
[[4657, 24, 2, 2009, 32, 36, 38, 45, 47, 49], [4972, 1, 3, 2011, 26, 32, 36, 38, 45, 49]]
[[4661, 5, 3, 2009, 13, 23, 32, 41, 45, 47], [2721, 4, 5, 1991, 6, 13, 23, 32, 41, 47]]
[[4687, 5, 5, 2009, 6, 32, 40, 45, 46, 49], [1881, 17, 4, 1983, 6, 32, 37, 40, 46, 49]]
[[4696, 26, 5, 2009, 6, 9, 10, 13, 35, 37], [2586, 20, 1, 1990, 6, 9, 10, 13, 35, 40]]
[[4703, 11, 6, 2009, 21, 23, 31, 35, 39, 41], [1668, 5, 4, 1981, 17, 21, 31, 35, 39, 41]]
[[4725, 1, 8, 2009, 5, 9, 10, 20, 29, 39], [185, 28, 8, 1960, 5, 9, 10, 29, 39, 41]]
[[4729, 11, 8, 2009, 6, 7, 14, 25, 39, 42], [6206, 17, 1, 2019, 6, 7, 13, 14, 39, 42]]
[[4731, 15, 8, 2009, 1, 7, 29, 35, 38, 45], [6088, 17, 4, 2018, 1, 7, 9, 29, 35, 45]]
[[4733, 20, 8, 2009, 3, 5, 18, 19, 33, 47], [1432, 31, 12, 1978, 3, 18, 19, 28, 33, 47]]
[[4735, 25, 8, 2009, 3, 7, 21, 34, 41, 45], [813, 7, 5, 1972, 3, 6, 7, 21, 41, 45]]
[[4741, 8, 9, 2009, 4, 7, 19, 26, 35, 48], [2538, 5, 8, 1989, 4, 17, 19, 26, 35, 48]]
[[4749, 26, 9, 2009, 18, 26, 35, 42, 43, 46], [2403, 16, 4, 1988, 18, 26, 31, 35, 42, 46]]
[[4751, 1, 10, 2009, 4, 16, 19, 27, 28, 30], [2193, 12, 4, 1986, 4, 16, 19, 23, 27, 30], [5794, 31, 5, 2016, 4, 12, 16, 27, 28, 30]]
[[4789, 29, 12, 2009, 8, 16, 19, 30, 31, 47], [41, 10, 11, 1957, 8, 19, 28, 30, 31, 47]]
[[4794, 9, 1, 2010, 2, 3, 16, 25, 38, 40], [6041, 28, 12, 2017, 2, 3, 7, 25, 38, 40]]
[[4801, 26, 1, 2010, 6, 23, 25, 26, 33, 35], [645, 18, 5, 1969, 6, 25, 26, 33, 34, 35]]
[[4820, 11, 3, 2010, 4, 22, 35, 42, 43, 49], [4577, 21, 8, 2008, 22, 35, 42, 43, 46, 49]]
[[4830, 3, 4, 2010, 16, 17, 31, 36, 37, 42], [5896, 24, 1, 2017, 17, 31, 36, 37, 42, 46]]
[[4855, 1, 6, 2010, 1, 14, 25, 28, 34, 41], [166, 17, 4, 1960, 1, 14, 28, 34, 41, 43]]
[[4856, 3, 6, 2010, 17, 20, 29, 43, 44, 45], [6362, 16, 1, 2020, 1, 20, 29, 43, 44, 45]]
[[4861, 15, 6, 2010, 14, 16, 29, 36, 38, 44], [4909, 5, 10, 2010, 7, 14, 16, 36, 38, 44]]
[[4877, 22, 7, 2010, 9, 15, 21, 33, 40, 43], [6400, 14, 4, 2020, 8, 9, 15, 21, 33, 43]]
[[4879, 27, 7, 2010, 1, 6, 27, 34, 40, 46], [325, 5, 5, 1963, 1, 27, 34, 40, 44, 46]]
[[4880, 29, 7, 2010, 2, 4, 22, 30, 31, 32], [77, 3, 8, 1958, 2, 4, 22, 31, 32, 43]]
[[4888, 17, 8, 2010, 13, 17, 22, 23, 24, 32], [4123, 9, 10, 2004, 13, 15, 22, 23, 24, 32]]
[[4909, 5, 10, 2010, 7, 14, 16, 36, 38, 44], [3906, 11, 9, 2002, 7, 14, 16, 25, 38, 44], [4861, 15, 6, 2010, 14, 16, 29, 36, 38, 44]]
[[4924, 9, 11, 2010, 1, 12, 22, 28, 40, 47], [5964, 1, 7, 2017, 12, 22, 28, 30, 40, 47]]
[[4928, 18, 11, 2010, 7, 20, 21, 26, 32, 38], [2778, 20, 11, 1991, 7, 14, 20, 21, 32, 38]]
[[4931, 25, 11, 2010, 19, 22, 25, 28, 40, 46], [1056, 25, 5, 1975, 19, 22, 25, 32, 40, 46]]
[[4936, 7, 12, 2010, 13, 22, 24, 27, 36, 37], [6051, 20, 1, 2018, 22, 24, 25, 27, 36, 37]]
[[4940, 16, 12, 2010, 4, 9, 31, 39, 42, 46], [3967, 12, 4, 2003, 2, 4, 9, 31, 39, 42]]
[[4969, 22, 2, 2011, 1, 15, 17, 31, 42, 46], [5318, 16, 5, 2013, 1, 15, 17, 31, 41, 42]]
[[4972, 1, 3, 2011, 26, 32, 36, 38, 45, 49], [2301, 25, 4, 1987, 3, 26, 32, 36, 45, 49], [4657, 24, 2, 2009, 32, 36, 38, 45, 47, 49]]
[[4976, 10, 3, 2011, 3, 18, 21, 23, 27, 30], [4648, 3, 2, 2009, 3, 18, 21, 23, 30, 41]]
[[4991, 14, 4, 2011, 5, 8, 10, 16, 24, 44], [1731, 8, 11, 1981, 8, 10, 16, 24, 29, 44]]
[[4999, 3, 5, 2011, 11, 12, 14, 35, 37, 39], [2532, 15, 7, 1989, 11, 12, 14, 35, 39, 42]]
[[5018, 16, 6, 2011, 22, 23, 29, 35, 41, 47], [2386, 20, 2, 1988, 3, 22, 29, 35, 41, 47]]
[[5020, 21, 6, 2011, 2, 5, 19, 32, 41, 46], [1263, 15, 5, 1977, 5, 8, 19, 32, 41, 46]]
[[5021, 23, 6, 2011, 3, 11, 12, 28, 29, 43], [503, 18, 9, 1966, 3, 10, 11, 12, 28, 29]]
[[5026, 5, 7, 2011, 15, 31, 35, 36, 38, 43], [3501, 24, 10, 1998, 31, 33, 35, 36, 38, 43]]
[[5029, 12, 7, 2011, 14, 17, 28, 29, 48, 49], [929, 2, 12, 1973, 13, 17, 28, 29, 48, 49]]
[[5037, 30, 7, 2011, 6, 19, 23, 29, 35, 43], [3949, 8, 2, 2003, 19, 22, 23, 29, 35, 43]]
[[5043, 13, 8, 2011, 15, 20, 29, 33, 34, 46], [549, 30, 7, 1967, 15, 20, 29, 33, 39, 46]]
[[5048, 25, 8, 2011, 10, 21, 37, 39, 43, 46], [5619, 18, 4, 2015, 10, 21, 34, 37, 43, 46]]
[[5049, 27, 8, 2011, 1, 22, 37, 40, 48, 49], [6537, 27, 2, 2021, 1, 22, 37, 40, 42, 48]]
[[5056, 13, 9, 2011, 9, 10, 28, 32, 41, 49], [4264, 15, 2, 2006, 10, 23, 28, 32, 41, 49]]
[[5086, 22, 11, 2011, 6, 9, 19, 28, 31, 35], [1690, 21, 6, 1981, 6, 19, 24, 28, 31, 35]]
[[5094, 10, 12, 2011, 11, 17, 23, 38, 42, 46], [1755, 31, 1, 1982, 11, 17, 19, 23, 38, 42]]
[[5111, 19, 1, 2012, 19, 20, 30, 31, 45, 46], [4545, 7, 6, 2008, 19, 20, 30, 31, 46, 47]]
[[5113, 24, 1, 2012, 27, 30, 41, 42, 44, 49], [1109, 23, 11, 1975, 8, 27, 30, 41, 44, 49]]
[[5114, 26, 1, 2012, 3, 6, 15, 27, 37, 48], [151, 3, 1, 1960, 3, 6, 11, 15, 27, 48], [1871, 13, 3, 1983, 3, 6, 15, 21, 27, 37]]
[[5131, 6, 3, 2012, 10, 26, 36, 39, 40, 45], [2877, 31, 10, 1992, 23, 26, 36, 39, 40, 45]]
[[5146, 10, 4, 2012, 3, 4, 18, 20, 39, 43], [1572, 4, 5, 1980, 3, 4, 18, 19, 39, 43]]
[[5156, 3, 5, 2012, 18, 19, 24, 25, 40, 42], [1279, 10, 7, 1977, 19, 24, 25, 37, 40, 42]]
[[5166, 26, 5, 2012, 7, 14, 20, 25, 39, 46], [5825, 11, 8, 2016, 7, 8, 20, 25, 39, 46]]
[[5176, 19, 6, 2012, 7, 9, 21, 32, 36, 41], [3781, 30, 6, 2001, 7, 9, 21, 36, 39, 41]]
[[5185, 10, 7, 2012, 5, 8, 13, 35, 45, 49], [996, 20, 10, 1974, 5, 8, 11, 13, 35, 49]]
[[5205, 25, 8, 2012, 12, 27, 36, 42, 45, 46], [2524, 17, 6, 1989, 12, 20, 27, 36, 42, 46]]
[[5215, 18, 9, 2012, 17, 22, 32, 35, 41, 44], [5717, 3, 12, 2015, 17, 32, 35, 39, 41, 44]]
[[5225, 11, 10, 2012, 2, 4, 16, 37, 38, 48], [1579, 25, 5, 1980, 2, 16, 37, 38, 45, 48]]
